dt_venda,key_loja,cod_produto,qtd_vendas,vlr_venda_tabelado_mean,vlr_desconto_mean,categoria_produto,sub_categoria_produto,linha_produto
2024-02-26,8,83068,2,494.7,0.0,157293.0,483679,306420
2024-02-26,8,83372,2,254.7,48.0,955075.0,483679,264366
2024-02-26,8,84203,4,235.875,0.0,217.0,422944,390554
2024-02-26,8,84206,6,244.64999999999998,34.949999999999996,217.0,422944,390554
2024-02-27,1,1428,2,230.7,0.0,217.0,422944,731659
2024-02-27,1,25458,4,419.7,0.0,157293.0,483679,284036
2024-02-27,1,47905,1,404.7,0.0,157293.0,483679,85436
2024-02-27,1,48060,7,1614.4714285714288,431.5585714285714,217.0,422944,306420
2024-02-27,1,48062,8,604.9875,158.30249999999998,217.0,422944,306420
2024-02-27,1,48375,1,389.7,0.0,217.0,422944,200277
2024-02-27,1,48675,4,213.375,52.92,217.0,422944,731659
2024-02-27,1,48676,1,170.7,0.0,217.0,422944,731659
2024-02-27,1,49823,2,140.7,0.0,217.0,422944,390554
2024-02-27,1,49883,1,140.7,0.0,217.0,422944,390554
2024-02-27,1,49893,2,188.7,0.0,217.0,422944,390554
2024-02-27,1,51387,1,614.7,120.0,157293.0,483679,212257
2024-02-27,1,51395,1,614.7,120.0,157293.0,311781,212257
2024-02-27,1,74096,1,509.7,93.03,157293.0,483679,264366
2024-02-27,1,75152,1,134.7,0.0,217.0,422944,390554
2024-02-27,1,75610,1,299.7,70.53,157293.0,483679,22428
2024-02-27,1,82045,1,230.7,69.48,217.0,422944,731659
2024-02-27,1,83053,1,134.7,0.0,217.0,422944,390554
2024-02-27,2,25458,3,404.7,0.0,157293.0,483679,284036
2024-02-27,2,47905,2,374.7,0.0,157293.0,483679,85436
2024-02-27,2,48060,17,641.8588235294118,133.71,217.0,422944,306420
2024-02-27,2,48281,7,263.65714285714284,64.06285714285714,217.0,422944,731659
2024-02-27,2,48282,3,384.5,0.0,217.0,422944,731659
2024-02-27,2,48352,1,524.7,0.0,157293.0,483679,85436
2024-02-27,2,48375,1,389.7,0.0,217.0,422944,200277
2024-02-27,2,48675,7,317.0142857142857,82.69714285714285,217.0,422944,731659
2024-02-27,2,48676,5,238.98000000000002,0.0,217.0,422944,731659
2024-02-27,2,49823,1,140.7,0.0,217.0,422944,390554
2024-02-27,2,49954,1,230.7,0.0,217.0,422944,731659
2024-02-27,2,50651,2,464.7,0.0,157293.0,311781,736254
2024-02-27,2,51395,5,737.6400000000001,144.0,157293.0,311781,212257
2024-02-27,2,52004,3,230.69999999999996,55.160000000000004,217.0,422944,731659
2024-02-27,2,52005,2,167.7,36.0,217.0,422944,731659
2024-02-27,2,54184,1,275.4,0.0,217.0,422944,390554
2024-02-27,2,74096,2,509.7,93.03,157293.0,483679,264366
2024-02-27,2,76664,1,389.7,39.0,157293.0,311781,109471
2024-02-27,2,76666,3,404.7,42.0,157293.0,311781,109471
2024-02-27,2,77690,1,188.7,0.0,217.0,422944,390554
2024-02-27,2,82045,3,230.69999999999996,48.0,217.0,422944,731659
2024-02-27,2,83845,2,1017.0,191.1,157293.0,483679,120030
2024-02-27,3,48060,6,649.5,140.24,217.0,422944,306420
2024-02-27,3,48062,3,759.1999999999999,238.34,217.0,422944,306420
2024-02-27,3,48281,11,314.59090909090907,87.91909090909091,217.0,422944,731659
2024-02-27,3,48282,1,230.7,0.0,217.0,422944,731659
2024-02-27,3,48675,9,341.4,111.6,217.0,422944,731659
2024-02-27,3,48734,1,989.7,0.0,157293.0,483679,306420
2024-02-27,3,49887,1,140.7,0.0,217.0,422944,390554
2024-02-27,3,49954,1,230.7,0.0,217.0,422944,731659
2024-02-27,3,52004,4,230.7,69.495,217.0,422944,731659
2024-02-27,3,52005,5,201.23999999999998,67.99199999999999,217.0,422944,731659
2024-02-27,3,74096,6,594.65,108.53500000000001,157293.0,483679,264366
2024-02-27,3,76666,1,419.7,42.0,157293.0,311781,109471
2024-02-27,3,82045,3,307.59999999999997,78.32000000000001,217.0,422944,731659
2024-02-27,4,1428,1,230.7,0.0,217.0,422944,731659
2024-02-27,4,25458,4,419.7,0.0,157293.0,483679,284036
2024-02-27,4,29226,1,389.7,0.0,217.0,422944,200277
2024-02-27,4,48060,10,584.55,118.674,217.0,422944,306420
2024-02-27,4,48281,23,310.94347826086954,80.11173913043478,217.0,422944,731659
2024-02-27,4,48282,1,230.7,0.0,217.0,422944,731659
2024-02-27,4,48635,3,419.7,0.0,955075.0,483679,284036
2024-02-27,4,48672,2,164.7,40.754999999999995,217.0,422944,731659
2024-02-27,4,48675,10,204.83999999999997,43.2,217.0,422944,731659
2024-02-27,4,48676,3,170.69999999999996,0.0,217.0,422944,731659
2024-02-27,4,49878,1,188.7,0.0,217.0,422944,390554
2024-02-27,4,49881,1,377.4,0.0,217.0,422944,390554
2024-02-27,4,49887,1,140.7,0.0,217.0,422944,390554
2024-02-27,4,49897,1,377.4,0.0,217.0,422944,390554
2024-02-27,4,51387,2,614.7,120.0,157293.0,483679,212257
2024-02-27,4,52004,11,251.67272727272723,69.94363636363636,217.0,422944,731659
2024-02-27,4,52005,5,234.78000000000003,59.688,217.0,422944,731659
2024-02-27,4,52008,2,164.7,40.754999999999995,217.0,422944,731659
2024-02-27,4,53508,1,188.7,0.0,217.0,422944,390554
2024-02-27,4,74096,8,637.125,116.2875,157293.0,483679,264366
2024-02-27,4,74722,1,494.7,0.0,157293.0,483679,306420
2024-02-27,4,76664,1,419.7,42.0,157293.0,311781,109471
